Name, Position, Year,Spot, Games, WS, VORP, PER, TS, BPM 
Marvin Barnes, PF,1974,2,315,0.106,7,18.1,0.514,1
Tom Burleson, C,1974,3,446,0.117,6.2,16.1,0.503,0.6
John Shumate, PF,1974,4,318,0.128,6.3,15.9,0.578,0.7
Bobby Jones, SF,1974,5,91,0.06,-0.3,9.7,0.527,-3.5
Scott Wedman, SF,1974,6,906,0.099,12.9,14.2,0.515,0
Tom Henderson, PG,1974,7,650,0.06,1.8,12.8,0.48,-1.6
Campy Russell, SF,1974,8,566,0.103,11.1,16.3,0.52,0.6
Tom McMillen, C,1974,9,729,0.088,-1.2,12.2,0.528,-2.3
Mike Sojourner, C,1974,10,191,0.092,-0.2,13.7,0.504,-2.2
Jamaal Wilkes, SF,1974,11,828,0.125,16.1,16.5,0.533,0.3
Brian Winters, SG,1974,12,650,0.093,6.9,15.2,0.516,-0.6
Len Elmore, C,1974,13,658,0.073,3.1,11.5,0.45,-1
Maurice Lucas, PF,1974,14,1021,0.11,16.7,16.2,0.519,0.2
Al Eberhard, SF,1974,15,220,0.062,-0.6,11.2,0.495,-2.5
Cliff Pondexter, PF,1974,16,197,0.079,-0.2,11.7,0.463,-2.3
Glenn McDonald, SF,1974,17,146,0.034,-1.1,10.3,0.426,-5
Gary Brokaw, SG,1974,18,241,0.054,-0.7,13.5,0.5,-2.6
Don Smith, SG,1974,19,54,0.004,-0.7,12.6,0.428,-7.2
Billy Knight, SF,1974,21,821,0.129,17.2,18.2,0.566,0.9
Truck Robinson, PF,1974,22,772,0.101,7.9,14.9,0.52,-0.8
Gus Bailey, SG,1974,23,147,0.029,-0.1,11.3,0.433,-2.4
Len Kosmalski, C,1974,24,76,0.052,-0.2,10.4,0.463,-3.3
John Drew, SF,1974,25,739,0.152,17.7,20.7,0.538,1.2
Leonard Gray, PF,1974,26,224,0.079,2.2,12.7,0.501,-0.6
Leon Benbow, SG,1974,27,115,0.044,-0.2,10.9,0.439,-2.5
Aaron James, SF,1974,28,356,0.082,-1.7,13.6,0.517,-2.9
Phil Smith, SG,1974,29,659,0.103,9.2,15.8,0.523,-0.1
Dennis DuVal, PG,1974,30,50,0.001,-0.1,11.2,0.4,-3.5
Fred Saunders, SF,1974,31,210,0.051,-0.7,11.4,0.467,-2.9
Jesse Dark, SG,1974,32,47,0.034,-0.4,11,0.487,-6
Eric Money, PG,1974,33,426,0.065,2.2,14.5,0.525,-1.2
Phil Lumpkin, PG,1974,34,82,0.028,-1.1,10.5,0.477,-5.8
Kevin Stacom, SG,1974,35,347,0.032,-3.2,10.6,0.449,-4.7
David Thompson, SG,1975,1,592,0.156,17,19.9,0.568,1.5
Dave Meyers, PF,1975,2,281,0.086,3.1,14.1,0.508,-0.3
Marvin Webster, C,1975,3,617,0.106,8.9,13.8,0.527,0.6
Alvan Adams, C,1975,4,988,0.13,39.3,18.3,0.541,3.7
Darryl Dawkins, C,1975,5,726,0.129,10.3,15.8,0.605,0.4
Lionel Hollins, PG,1975,6,673,0.059,2.3,13,0.486,-1.5
Rich Kelley, C,1975,7,814,0.115,19.8,15,0.565,2.4
Junior Bridgeman, SF,1975,8,849,0.102,5.4,15.6,0.52,-1
Gene Short, SF,1975,9,34,-0.025,-0.3,9.8,0.4,-6.6
Bill Robinzine, PF,1975,10,529,0.098,3.2,14.9,0.531,-0.9
Joe Meriweather, C,1975,11,670,0.09,3.9,12.7,0.55,-1
Frank Oleynick, SG,1975,12,102,-0.005,-1.5,10.3,0.426,-7.2
Bob Bigelow, SF,1975,13,94,0.029,-0.7,8.7,0.466,-5.5
Joe Bryant, PF,1975,14,606,0.048,0.8,12.2,0.499,-1.8
John Lambert, PF,1975,15,446,0.06,-0.8,10.4,0.458,-2.6
Ricky Sobers, SG,1975,16,821,0.067,5,13.9,0.522,-1.1
Tom Boswell, PF,1975,17,366,0.104,3.7,13.7,0.579,0.1
Kevin Grevey, SF,1975,18,672,0.083,1.4,12.9,0.496,-1.6
Bill Willoughby, SF,1975,19,488,0.074,0.6,11.8,0.508,-1.7
Gus Williams, PG,1975,20,825,0.127,25.5,18.5,0.505,1.9
Bruce Seals, SF,1975,21,348,0.05,-2.5,11.5,0.46,-3.3
Clyde Mayes, PF,1975,22,74,0.044,-0.5,10.8,0.475,-3.9
Cornelius Cash, PF,1975,24,6,-0.01,-0.1,12,0.41,-7.6
Bob Gross, SF,1975,25,513,0.117,13.9,14.7,0.557,2.4
Dan Roundfield, PF,1975,28,813,0.132,25.8,17.9,0.538,2.2
Steve Green, SF,1975,30,205,0.06,-0.2,12,0.485,-3.2
Glenn Hansen, SG,1975,31,112,0.034,-0.7,11.7,0.454,-3.9
John Laskowski, SG,1975,32,118,0.046,-1.7,10.9,0.43,-5.1
Larry Fogle, SG,1975,34,2,-0.163,0,-0.5,0.2,-14.9
Allen Murphy, SG,1975,35,31,-0.019,-0.3,8,0.426,-6.3
Jimmy Conner, SG,1975,36,24,0.053,0,12.2,0.537,-2.5
John Lucas, PG,1976,1,928,0.101,10.3,15.9,0.509,-0.4
Scott May, SF,1976,2,355,0.104,2,14.2,0.52,-1
Richard Washington, PF,1976,3,351,0.066,-0.6,13.3,0.485,-2.3
Leon Douglas, C,1976,4,456,0.072,1.1,11.9,0.528,-1.6
Wally Walker, SF,1976,5,565,0.061,-0.8,11.4,0.491,-2.3
Adrian Dantley, SF,1976,6,955,0.189,44,21.5,0.617,3.1
Quinn Buckner, PG,1976,7,719,0.073,10.2,13.4,0.487,0.5
Robert Parish, C,1976,8,1611,0.154,41.5,19.2,0.571,1.6
Armond Hill, PG,1976,9,468,0.046,-1.1,10.2,0.487,-2.4
Ron Lee, PG,1976,10,448,0.054,5,12.4,0.466,0
Bob Wilkerson, SF,1976,11,536,0.027,0.6,11.1,0.464,-1.8
Terry Furlow, SG,1976,12,239,0.073,0.3,16.2,0.511,-1.8
Mitch Kupchak, PF,1976,13,510,0.131,2,16.2,0.568,-1.2
Larry Wright, PG,1976,14,343,0.074,0.2,13.1,0.503,-1.9
Chuckie Williams, SG,1976,15,22,-0.137,-0.2,8.8,0.354,-11.5
Norm Cook, SF,1976,16,27,-0.018,-0.2,9.8,0.394,-6.5
Sonny Parker, SF,1976,17,452,0.118,11.5,15.6,0.539,2.2
Willie Smith, PG,1976,18,78,0.052,0.4,12.3,0.457,-0.8
Bayard Forrest, C,1976,19,139,0.06,0.6,10.6,0.47,-0.8
Major Jones, PF,1976,20,374,0.052,-0.5,11.3,0.514,-2.4
Earl Tatum, SG,1976,21,262,0.071,1.6,14.2,0.485,-0.8
Johnny Davis, SG,1976,22,750,0.087,1.4,14.3,0.512,-1.7
Alex English, SF,1976,23,1193,0.127,35.6,19.9,0.55,1.7
Scott Lloyd, C,1976,24,372,0.021,-2.2,8.5,0.48,-3.6
